REF_DATE,VALUE
1952-10-01,4841000
1953-10-01,5002000
1954-10-01,5174000
1955-10-01,5311000
1956-10-01,5470000
1957-10-01,5722000
1958-10-01,5874000
1959-10-01,6020000
1960-10-01,6158000
1961-10-01,6275000
1962-10-01,6395000
1963-10-01,6535000
1964-10-01,6687000
1965-10-01,6849000
1966-10-01,7025000
1967-10-01,7186000
1968-10-01,7305000
1969-10-01,7442000
1970-10-01,7613000
1971-10-01,7882241
1972-10-01,7992037
1973-10-01,8107108
1974-10-01,8240114
1975-10-01,8352911
1976-10-01,8438765
1977-10-01,8530102
1978-10-01,8604263
1979-10-01,8674941
1980-10-01,8757388
1981-10-01,8846005
1982-10-01,8957042
1983-10-01,9074145
1984-10-01,9210346
1985-10-01,9338435
1986-10-01,9493289
1987-10-01,9702789
1988-10-01,9917210
1989-10-01,10167642
1990-10-01,10344678
1991-10-01,10465562
1992-10-01,10610665
1993-10-01,10728737
1994-10-01,10860406
1995-10-01,10993416
1996-10-01,11130574
1997-10-01,11278893
1998-10-01,11408804
1999-10-01,11559464
2000-10-01,11748348
2001-10-01,11961546
2002-10-01,12145100
2003-10-01,12290116
2004-10-01,12435931
2005-10-01,12578240
2006-10-01,12701324
2007-10-01,12807497
2008-10-01,12927520
2009-10-01,13048442
2010-10-01,13189987
2011-10-01,13310604
2012-10-01,13436625
2013-10-01,13559499
2014-10-01,13661282
2015-10-01,13759762
2016-10-01,13948180
2017-10-01,14161084
2018-10-01,14413055
2019-10-01,14666727
2020-10-01,14757582
2021-10-01,14942272
2022-10-01,15283961
2023-10-01,15801768
